date,stock_price,option_price,pnl
2023-01-03,123.33064270019531,26.669357299804688,
2023-01-04,124.60269927978516,25.397300720214844,
2023-01-05,123.28133392333984,26.718666076660156,
2023-01-06,127.81736755371094,22.182632446289062,
2023-01-09,128.33999633789062,21.660003662109375,
2023-01-10,128.91192626953125,21.09087957126875,0.0
2023-01-11,131.633544921875,18.45021271373499,264.0666857533759
2023-01-12,131.55465698242188,18.517994960149537,257.2884611119214
2023-01-13,132.88589477539062,17.25867796486266,383.2201606406091
2023-01-17,134.04949951171875,16.141040891437495,494.9838679831256
2023-01-18,133.32965087890625,16.79545051368723,429.5429057581522
2023-01-19,133.3887939453125,16.730164548486723,436.0715022782028
2023-01-20,135.95262145996094,14.381750759475315,670.9128811793436
2023-01-23,139.14759826660156,11.59636836927093,949.451120199782
2023-01-24,140.54782104492188,10.450880992327297,1063.9998578941454
2023-01-25,139.8871612548828,10.939231486507884,1015.1648084760867
2023-01-26,141.9579315185547,9.305994158835274,1178.4885412433478
2023-01-27,143.90054321289062,7.882225640900742,1320.865393036801
2023-01-30,141.0112762451172,9.879637393936738,1121.1242177332012
2023-01-31,142.28334045410156,8.86320513243444,1222.767443883431
2023-02-01,143.40748596191406,7.994619473780308,1309.6260097488444
2023-02-02,148.7225341796875,4.654145857345461,1643.6733713923288
2023-02-03,152.35134887695312,2.9572179817105884,1813.3661589558162
2023-02-06,149.61985778808594,3.943966700896287,1714.6912870372464
2023-02-07,152.49928283691406,2.6388872756307555,1845.1992295637997
2023-02-08,149.80722045898438,3.71390127660347,1737.6978294665282
2023-02-09,148.77186584472656,4.16408535833361,1692.6794212935142
2023-02-10,149.1372528076172,3.9012258302928657,1718.9653740975884
2023-02-13,151.94204711914062,2.406367784398998,1868.4511786869753
2023-02-14,151.30010986328125,2.58070330684041,1851.0176264428342
2023-02-15,153.40367126464844,1.7336200842863254,1935.7259486982425
2023-02-16,151.8037872314453,2.208604024200125,1888.2275547068627
2023-02-17,150.6581573486328,2.5938019749204915,1849.7077596348258
2023-02-21,146.6386260986328,4.463937653506532,1662.6941917762217
2023-02-22,147.0633087158203,4.080307075528671,1701.0572495740078
2023-02-23,147.54722595214844,3.6578598706187906,1743.301970064996
2023-02-24,144.8905792236328,5.523487107276582,1556.7392463992169
2023-02-27,146.0855712890625,4.28396492910907,1680.6914642159682
2023-02-28,145.5819091796875,4.612297914612486,1647.8581656656263
2023-03-01,143.50794982910156,6.5003732307061695,1459.050634056258
2023-03-02,144.1005096435547,5.901240589710154,1518.9638981558596
